,Title,Area,Price,SqrFt,Sq.Price,Date
                   ","\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t                \tSHARNAM COUNTY, \r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tBopal\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ",X,310 sqyrd,104838  per sqft,"May 02, 2020"

9,Call for Price,Ahmedabad,X,3825 sqft,NaN,"May 01, '20"

10,"
			            		
			            			
			            			
			            				4 BHK  House
			            			
			            		
			            		
			            	",Ahmedabad,X,1522 sqft,NaN,"May 01, 2020"

11,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,254 sqyrd,NaN,"May 01, 2020"

12,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,257 sqyrd,NaN,"May 02, 2020"

13,"
			            		
			            			
			            			
			            				5 BHK Villa
			            			
			            		
			            		
			            	

							
								
								
								
		            				for Sale in
		            			
								
							

							
								
								
				                	Applewoods Township, 
								
							
		                	
		                		
						           
							         
							         	Sardar Patel Ring Road
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ","\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t                \tApplewoods Township, \r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tSardar Patel Ring Road\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ",X,855 sqyrd,58479  per sqft,"May 01, '20"

14,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,218 sqyrd,NaN,"May 01, '20"

15,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,216 sqyrd,NaN,"May 02, 2020"

16,"
			            		
			            			
			            			
			            				3 BHK  House
			            			
			            		
			            		
			            	",Ahmedabad,X,1293 sqft,NaN,"May 01, '20"

17,"
			            		
			            			
			            			
			            				4 BHK  House
			            			
			            		
			            		
			            	

							
								
								
								
		            				for Sale in
		            			
								
							

							
								
								
							
		                	
		                		
						           
							         
							         	Vastrapur
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ",\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tVastrapur\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ,X,300 sqyrd,175000  per sqft,"May 01, '20"

18,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,218 sqyrd,NaN,"May 02, 2020"

19,"
			            		
			            			
			            			
			            				3 BHK  House
			            			
			            		
			            		
			            	",Ahmedabad,X,110 sqyrd,NaN,"May 01, '20"

20,"
			            		
			            			
			            			
			            				5 BHK Villa
			            			
			            		
			            		
			            	

							
								
								
								
		            				for Sale in
		            			
								
							

							
								
								
				                	Adani The North Park, 
								
							
		                	
		                		
						           
							         
							         	Vaishno Devi
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ","\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t                \tAdani The North Park, \r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tVaishno Devi\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ",X,1070 sqyrd,76635  per sqft,"May 01, '20"

21,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,190 sqyrd,NaN,"May 01, '20"

22,"
			            		
			            			
			            			
			            				3 BHK Villa
			            			
			            		
			            		
			            	

							
								
								
								
		            				for Sale in
		            			
								
							

							
								
								
				                	Malhaar Exotica, 
								
							
		                	
		                		
						           
							         
							         	Sardar Patel Ring Road
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ","\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t                \tMalhaar Exotica, \r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tSardar Patel Ring Road\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ",X,1125 sqft,4000  per sqft,"May 01, '20"

23,"
			            		
			            			
			            			
			            				5 BHK Villa
			            			
			            		
			            		
			            	

							
								
								
								
		            				for Sale in
		            			
								
							

							
								
								
				                	Adani Shantigram, 
								
							
		                	
		                		
						           
							         
							         	SG Highway
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ","\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t                \tAdani Shantigram, \r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tSG Highway\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ",X,"11,700 sqft",65909  per sqft,"Apr 25, '20"

24,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	

							
								
								
								
		            				for Sale in
		            			
								
							

							
								
								
							
		                	
		                		
						           
							         
							         	Manipur
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ",\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tManipur\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ,X,396 sqyrd,3647  per sqft,"Apr 27, '20"

25,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,170 sqyrd,NaN,"May 02, 2020"

26,"
			            		
			            			
			            			
			            				5 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,360 sqyrd,NaN,"May 02, 2020"

27,"
			            		
			            			
			            			
			            				3 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,300 sqyrd,NaN,"May 02, 2020"

28,"
			            		
			            			
			            			
			            				3 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,323 sqyrd,NaN,"May 02, 2020"

29,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,1827 sqft,NaN,"May 01, 2020"

